	Num_genomes	Total_intact_genes	Total_pseudo_genes	Total_intact_clusters	Total_pseudo_clusters	Mean_intact_genes	Mean_intact_clusters	Mean_pseudo_genes	Mean_pseudo_clusters	Mean_intact_percent_cov	Mean_pseudo_percent_cov	Sd_intact_genes	Sd_intact_clusters	Sd_pseudo_genes	Sd_pseudo_clusters	Sd_intact_percent_cov	Sd_pseudo_percent_cov
Agrobacterium_tumefaciens	223	1076271	82318	24731	4464	4826.32735426009	4824.65919282511	369.139013452915	368.919282511211	84.6288515908593	2.00479461255159	202.537852130586	202.099209633488	21.2164616717583	20.7445365742667	0.575299459364826	0.0819526879336821
Enterococcus_faecalis	1298	3339181	109584	26867	6257	2572.55855161787	2563.57935285054	84.5555555555556	83.8518518518518	79.6688645902412	0.906641096689365	154.863986509826	148.929157160283	18.2428491305921	17.8994953781366	0.967320812467706	0.232646031637808
Escherichia_coli	2955	12971835	2118815	79395	38196	4389.79187817259	4366.27411167513	717.26980365606	714.13067027759	81.0749381316971	3.63454383442294	158.363836167369	149.53123545135	48.8059662213883	46.3975940020758	1.12253250293601	0.22921453540969
Lactococcus_lactis	135	310580	8170	15485	1994	2300.59259259259	2286.20740740741	60.5185185185185	60.1703703703704	80.3859503256491	0.678678861695902	141.421794025242	139.36782088043	16.6073405150513	16.1599009624296	2.26721586333475	0.157348299223374
Pseudomonas_aeruginosa	4115	21908725	909029	95209	35636	5324.11300121507	5314.57594167679	220.906196840826	220.145078979344	78.9664616159627	1.26560111458114	255.663584354911	249.165292486006	38.3369264546653	37.3975683771994	0.741231605823056	0.187185127032656
Sinorhizobium_meliloti	166	1001437	80305	36736	9996	6032.75301204819	6002.48192771084	489.664634146341	483.390243902439	80.5765411188954	2.14319804665398	205.650525472794	193.30458687723	53.4452621117777	49.5441195454641	0.947822878362103	0.213335776433221
Staphylococcus_epidermidis	447	977677	33981	12681	2901	2187.19686800895	2181.8389261745	76.0201342281879	75.0492170022371	77.9704292358207	0.873377393078455	93.595334908456	91.1846596664459	13.9044480085117	12.3887802946146	0.989957120068353	0.150932163628259
Streptococcus_pneumoniae	6845	11106685	1725479	37371	33803	1622.59824689554	1618.94054054054	252.115575686733	251.146551724138	69.3438194689678	3.26869821933134	59.1752580052568	57.987280190911	20.6519050141836	20.1291316009008	0.701426309558345	0.29202603151109
Wolbachia_pipientis	716	642248	40310	4118	1336	896.994413407821	895.284916201117	56.2988826815642	55.445530726257	73.0917048029246	1.29386949375174	25.0634991516619	19.3178013884209	20.8034437408119	16.0220510502805	1.23014246369535	0.488587376319979
Xanthomonas_oryzae	326	1081258	128057	12426	6125	3316.74233128834	3177.29754601227	394.021538461538	387.670769230769	72.0010328632065	2.94289443881547	215.760639141036	103.018924893765	126.989122325433	116.354871352124	1.95105201956475	0.577858743060858
